learn_rate,num_hidden_nodes,weight_range,beta,c,error
2.25,10,2.5,460,460,0.136898215
2.125,9,2.5,400,420,0.136901948
2.25,9,2.25,400,400,0.136955638
2.125,9,2.25,440,460,0.136959868
2.5,6,2.5,420,260,0.136982841
2.375,10,2.125,400,400,0.137019175
2.375,8,2.25,440,480,0.137028174
2.125,8,2.5,460,420,0.137032456
2,8,2.375,460,480,0.137040489
2.5,10,2.25,400,480,0.137046366
2.25,8,2.25,460,480,0.137075255
2.25,11,2.25,460,400,0.137105878
2,10,2.25,420,460,0.137107485
2.5,10,2.25,440,420,0.137108373
2.125,10,2.125,400,400,0.137194395
2,9,2.5,460,420,0.137198917
2.5,8,2.5,260,180,0.137202767
2,9,2.25,480,460,0.137221419
2.125,11,2.25,460,400,0.137250789
2,9,2.25,440,400,0.137326321
2.5,10,2.375,420,460,0.137360653
2.375,9,2.25,440,460,0.137441022
2,10,2.125,400,420,0.13748282
2.375,10,2.375,440,400,0.137483895
2.5,10,2.5,420,440,0.137501297
2.125,10,2.375,440,400,0.137521562
2,8,2.375,420,440,0.137541637
2.125,9,2.5,440,400,0.137577972
2,9,2.5,460,440,0.137586478
2,10,2.125,420,420,0.137599398
2.5,10,2.375,460,400,0.137676867
2.125,8,2.25,480,480,0.137683919
2,10,2.25,400,440,0.137729724
2.25,8,2.375,420,440,0.13776441
2.25,10,2.5,420,440,0.137769965
2.5,10,2.5,420,420,0.137788286
2.375,9,2.25,480,440,0.13782265
2.375,10,2.25,460,420,0.137828425
2.375,11,2.25,460,400,0.137868924
2.5,8,2.25,420,260,0.137870294
2.25,8,2.5,400,420,0.13788682
2.5,8,2.5,480,400,0.137888988
2,10,2.125,440,420,0.137903864
2,8,2.5,420,420,0.137950082
2.5,10,2.25,100,260,0.137969959
2,10,2.25,420,260,0.137984873
2.25,11,2.25,460,440,0.137990506
2,10,2.375,460,400,0.137999127
2.5,10,2.375,440,400,0.138002363
2.375,9,2.25,440,400,0.138022118
2,8,2.25,460,440,0.138043072
2,10,2.25,400,400,0.138085309
2.125,10,2.125,400,420,0.138101932
2.25,9,2.375,440,460,0.138124521
2.375,10,2.375,480,440,0.138148605
2.25,11,2.375,480,420,0.138192571
2.25,11,2.125,400,420,0.138213147
2.125,10,2.375,460,400,0.138218297
2.25,8,2.25,100,260,0.138234484
2.5,9,2.5,400,420,0.138290609
2.375,11,2.25,460,440,0.138367344
2.25,9,2.5,480,480,0.138369183
2,11,2.125,480,480,0.138415737
2.375,9,2.25,440,420,0.138418297
2.125,8,2.5,440,440,0.138430568
2.5,10,2.25,460,420,0.138435933
2.5,6,2.5,420,180,0.138461435
2,11,2.125,440,480,0.138485111
2.25,8,2.5,340,420,0.138509091
2,14,2,260,340,0.13851257
2.25,9,2.375,480,480,0.138539668
2.25,10,2.5,460,400,0.138547585
2.5,10,2.375,460,420,0.138561496
2.5,8,2.5,420,420,0.138598326
2.375,9,2.5,440,440,0.138610775
2.375,8,2.25,460,480,0.138668496
2,8,2.25,480,480,0.138742147
2.25,9,2.25,440,420,0.13874659
2.5,9,2.375,400,420,0.138821093
2.125,9,2.375,400,420,0.138837068
2.5,8,2.5,400,440,0.138873249
1.75,10,2.5,420,420,0.138883917
2.5,10,2.125,400,400,0.138947597
2.25,8,2.25,260,420,0.138954721
2.25,9,2.5,420,400,0.138964574
2.375,9,2.375,440,460,0.138971604
2.375,10,2.25,440,420,0.139023807
2.5,10,2.25,100,340,0.139036075
2.5,9,2.25,440,420,0.139053971
2,8,2.25,260,420,0.139114356
2.25,9,2.125,480,400,0.139116526
2.125,11,2.125,420,440,0.139129716
2,9,2.5,400,420,0.139141897
2,10,2.375,420,480,0.139180565
2.5,10,2.25,400,440,0.139203429
2.125,8,2.25,460,480,0.139208676
2,9,2.25,440,460,0.139238383
2.25,10,2,460,440,0.139286584
2,11,2.125,420,420,0.139303355
2.125,11,2.125,400,420,0.139306165
2.5,9,2.25,480,440,0.139314529
2.5,6,2.5,260,420,0.139319487
2.25,10,2.375,460,400,0.139333462
2.375,10,2.5,460,400,0.139357379
2,9,2.375,480,420,0.139359226
2.25,9,2.25,440,460,0.139392329
2.25,10,2.125,480,420,0.13944104
2.25,8,2.25,100,340,0.139448075
2.125,10,2.375,480,440,0.139509424
1.75,8,2.25,100,260,0.13955911
2.125,10,2.375,460,420,0.139565461
2,8,2.5,440,460,0.13958162
2.25,11,2.125,480,440,0.139620653
2.5,6,2.5,340,340,0.139626618
2,8,2.5,260,180,0.139650821
2,9,2.25,440,420,0.139650821
2.125,8,2.375,420,440,0.13970296
2.375,8,2.5,480,460,0.139705727
2.5,11,2.25,460,400,0.139752528
2.125,10,2.5,420,440,0.139767596
2,11,2.125,440,460,0.139793535
2.375,10,2.5,440,420,0.139795708
1.75,12,2.25,100,180,0.13982614
2.125,9,2.25,440,420,0.139844559
2.5,10,2.25,440,400,0.139847609
2.25,8,2.5,480,400,0.139850217
2.125,10,2.25,400,440,0.139906947
2.375,10,2.25,400,440,0.139909276
2,8,2.375,400,400,0.139945568
